scenario_id,rule,odd_zone,wind_kn,vis_m,seed
imazu-01-ho-v1.0,Rule14,open_sea,0.0,10001,1
imazu-01-ho-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-02-cr-gw-v1.0,Rule15,open_sea,0.0,10001,1
imazu-02-cr-gw-v1.0,Rule15,offshore_wind_farm,0.0,10001,1
imazu-03-ot-v1.0,Rule13,open_sea,0.0,10001,1
imazu-03-ot-v1.0,Rule13,offshore_wind_farm,0.0,10001,1
imazu-04-cr-so-v1.0,Rule15,open_sea,0.0,10001,1
imazu-04-cr-so-v1.0,Rule15,offshore_wind_farm,0.0,10001,1
imazu-05-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-05-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-06-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-06-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-07-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-07-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-08-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-08-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-09-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-09-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-10-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-10-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-11-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-11-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-12-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-12-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-13-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-13-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-14-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-14-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-15-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-15-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-16-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-16-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-17-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-17-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-18-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-18-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-19-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-19-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-20-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-20-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-21-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-21-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
imazu-22-ms-v1.0,Rule14,open_sea,0.0,10001,1
imazu-22-ms-v1.0,Rule14,offshore_wind_farm,0.0,10001,1
colreg-rule13-ot-002-v1.0,Rule13,open_sea,0.0,10001,21
colreg-rule13-ot-002-v1.0,Rule13,offshore_wind_farm,0.0,10001,21
colreg-rule13-ot-003-v1.0,Rule13,open_sea,8.0,10001,22
colreg-rule13-ot-003-v1.0,Rule13,offshore_wind_farm,8.0,10001,22
colreg-rule13-ot-001-v1.0,Rule13,open_sea,0.0,10001,20
colreg-rule13-ot-001-v1.0,Rule13,offshore_wind_farm,0.0,10001,20
colreg-rule14-ho-002-v1.0,Rule14,open_sea,5.0,5000,43
colreg-rule14-ho-002-v1.0,Rule14,offshore_wind_farm,5.0,5000,43
colreg-rule14-ho-003-v1.0,Rule14,restricted_fairway,0.0,1000,44
colreg-rule14-ho-001-v1.0,Rule14,open_sea,0.0,10001,42
colreg-rule14-ho-001-v1.0,Rule14,offshore_wind_farm,0.0,10001,42
colreg-rule15-cs-002-v1.0,Rule15_Stbd,open_sea,0.0,10001,11
colreg-rule15-cs-002-v1.0,Rule15_Stbd,offshore_wind_farm,0.0,10001,11
colreg-rule15-cs-003-v1.0,Rule15_Port,open_sea,0.0,10001,12
colreg-rule15-cs-003-v1.0,Rule15_Port,offshore_wind_farm,0.0,10001,12
colreg-rule15-cs-004-v1.0,Rule15_Stbd,open_sea,0.0,10001,13
colreg-rule15-cs-004-v1.0,Rule15_Stbd,offshore_wind_farm,0.0,10001,13
colreg-rule15-cs-001-v1.0,Rule15_Stbd,open_sea,0.0,10001,10
colreg-rule15-cs-001-v1.0,Rule15_Stbd,offshore_wind_farm,0.0,10001,10
